Region	Name	Period	Mean	Uncert	Uncert Comments	Type	Comments
East Asia	Fossil fuel CO2 emissions	2000-2009	1967	136	Andres et al. Tellus 2014 (calculated by R. Andres for the region considered - dependent countries uncertainty assumed)	source	CDIAC
East Asia	∆C	2000-2009	-293	33	Piao et al. 2012 BG	gain	Piao et al. 2012 BG, based on inventory and satelite approach
East Asia	NEE	2000-2009	-256	35	Propagated	sink	Mass balance
East Asia	Land use change	2000-2009	-13	29	Piao et al. 2012 BG	sink	Piao et al. 2009 Nature
East Asia	NPP	2000-2009	-2895	579	Assumed 20% (see Methods)	sink	Running et al. 2004 and Zhao et al. 2005 MOD17A3.005
East Asia	Soil Heterotrophic Respiration	2000-2009	1646	596	Propagated	source	Mass balance - rivers outgassing Raymond et al.
East Asia	Fire	2000-2009	20	5	From IAV	source	GFED4 only non deforestation and non agricultural fires ;  note = Piao et al. BG 2012 had 18±10 (estimate not used)
East Asia	Wood product decay	2004	128	64	Assumed	source	Peters et al. BG 2012 (25,5 - 8,5+25,2 ) x decay function from Earles
East Asia	Wood export	2004	-17	3	Assumed	lateral	Peters et al. BG 2012
East Asia	Crop product consumption	2004	375	75	Assumed	source	Peters et al. BG 2012
East Asia	Crop export	2004	-46	9	Assumed	lateral	Peters et al. BG 2012
East Asia	Soil C export to rivers	undefined	62	17	Propagated	lateral	Mass balance (ignoring burial)
East Asia	Bedrock C export to rivers	undefined	5	3	Hartmann et al., 2009	lateral	Hartmann et al., 2009
East Asia	Freshwater outgasing	2000s	164	82	Assumed	source	Raymond et al.  Nature 2014
East Asia	River export to ocean	undefined	31	9	Propagated	lateral	Calculated as C fluxes to estuaries - estuarine outgasing
SouthEast Asia	Fossil fuel CO2 emissions	2000-2009	258			source	
SouthEast Asia	∆C	undefined	-262	100	tbc	sink	
SouthEast Asia	NEE	undefined	-447	186	tbc	source	
SouthEast Asia	Land use change	undefined	194	39	Assumed 20%	source	
SouthEast Asia	NPP	undefined	-5125	1025	Assumed 20%	sink	
SouthEast Asia	Soil Heterotrophic Respiration	undefined	3868	1038	Propagated	source	
SouthEast Asia	NPP-RH	undefined	-1257				
SouthEast Asia	Fire	2000-2009	119	24	Assumed 20% like Africa & S America	source	
SouthEast Asia	Wood product decay	2004	31	15	Assumed	source	
SouthEast Asia	Wood export	2004	13	3	Asumed	lateral	
SouthEast Asia	Crop product consumption	2004	153	31	Assumed	source	
SouthEast Asia	Crop export	2004	68	14	Assumed	lateral	
SouthEast Asia	Soil C export to rivers	undefined	611	122	Propagated	lateral	
SouthEast Asia	Bedrock C export to rivers	undefined	18	4	Hartmann et al., 2009	lateral	
SouthEast Asia	Freshwater outgasing	2000s	507	254	Assumed	source	
SouthEast Asia	River export to ocean	undefined	122	48	Assumed	lateral	
Russia	Fossil fuel CO2 emissions	2000-2009	439	33	Andres et al. Tellus 2014 (calculated by R. Andres for the region considered - dependent countries uncertainty assumed)	source	CDIAC
Russia	∆C	2009 (representative)	-542	218	1-sigma from Dolman pp.5335  196 TgC yr-1 uncertainty 90% CI plus 120 TgC yr-1 additional uncertainty added to account for the fact that only 2007-09 is estimated	gain	Dolman et al. Table 5 (includes LUC) estimate for year 2009 corrected to period 2007-2009 using same IIASA LEA C accounting system (Shvidenko pers. Com.)
Russia	NEE	2009 (representative)	-600	224	Propagated	sink	Mass balance
Russia	Land use change	1990-2006	-34	2	Dolman pp.5334	sink	Dolman et al. BG 2012 Table 5
Russia	NPP	2000-2009	-5109	1022	Assumed 20% (see Methods)	sink	Running et al. 2004 and Zhao et al. 2005 MOD17A3.005
Russia	Soil Heterotrophic Respiration	2000-2009	4122	1051	Propagated  ; note Dolman et al. BG 2012 p 5327 report 10% error	source	Mass balance - rivers outgassing Raymond et al. ; Note Dolman et al. BG 2012 Table 2 gives 3463 TgC y-1 from different numbersMass balance - rivers outgassing Raymond et al. ; Note Dolman et al. BG 2012 Table 2 gives 3463 TgC y-1 from different numbers
Russia	Fire	2000-2009	114	75	From IAV	source	GFED4 only non deforestation and non agricultural fires ; Note : Dolman et al. BG 2012 p 5328 from LEA IIASA estimate intheir  Table 5 is 97 ± 22 for 1998-2010 (estimate not used) - Note : additional insect (table 5 in Dolman et al.) 51  TgC y-1 not added
Russia	Wood product decay	2003-2010	28	14	Assumed	source	Peters et al. BG 2012
Russia	Wood export	undefined	20	10	Assumed	lateral	Dolman et al. BG 2012 et al. pp. 5332 ;  Note : Peters give 17 Tg C y-1
Russia	Crop product consumption	2003-2010	60	12	Assumed	source	"Dolman et al. BG 2012 Table 2 minus """"net export"""" in Table 5  (18 ) ; Note Peters et al. had 16.6 TgC y-1"
Russia	Crop export	undefined	18	4	Assumed	lateral	Dolman et al. BG 2012  Table 5 ; Note : Peters et al. have 4.2 TgC y-1
Russia	Soil C export to rivers	undefined	75	15	Propagated	lateral	mass balance Note :  including burial = 20 ± 18 TgC yr-1 (H159Dolman et al. BG 2012 pp 5332 )
Russia	Bedrock C export to rivers	undefined	7	4	Hartmann et al., 2009	lateral	Hartmann et al., 2009
Russia	Freshwater outgasing	2000s	134	67	Assumed	source	Raymond et al. 2014 Nature ;  Note : Dolman et al. BG 2012 Table 1 has 11.8 TgC y-1  but definition is not clear (burial or outgas ?)
Russia	River export to ocean	undefined	27	49	Propagated	lateral	Calculated as C fluxes to estuaries - estuarine outgasing
Europe	Fossil fuel CO2 emissions	2000-2009	1189	40	Andres et al. Tellus 2014 ; only 1-sigma error for France used by default, needs to be redone	source	
Europe	∆C	2000-2007  ill-defined	-275	137	Luyssaert et al. BG 2012	gain	
Europe	NEE	2000-2007  ill-defined	-215	146	Propagated	sink	
Europe	Land use change	2003-2007	-2	1	Schulze et al. GCB 2010 - Fig 3	sink	
Europe	NPP	undefined	-2519	-504	Assumed	sink	
Europe	Soil Heterotrophic Respiration	undefined	1783	535	Propagated	source	
Europe	NPP-RH	undefined	-736				
Europe	Fire	1997-2009	4	2	Luyssaert et al. BG 2012	source	
Europe	Wood product decay	2004	38	19	Eggers et al. 2002	source	
Europe	Wood export	2004	-14	3	Assumed	lateral	
Europe	Crop product consumption	2004	272	54	Assumed	source	
Europe	Crop export	2004	-83	17	Assumed	lateral	
Europe	Soil C export to rivers	undefined	244	98	Propagated	lateral	
Europe	Bedrock C export to rivers	undefined	11		Hartmann et al., 2009	lateral	
Europe	Freshwater outgasing	2000s	166	83	Assumed	source	
Europe	River export to ocean	undefined	48	48	Assumed	lateral	
South America	Fossil fuel CO2 emissions	2000-2009	243		CDIAC	source	
South America	∆C	2000-2009	225	282	Gloor et al. Table 12	loss	
South America	NEE	2000-2009	-6	284	Propagated	sink	
South America	Land use change	1990-2012	525	131	Gloor et al. pp. 5418	source	
South America	NPP	1997-2009	-14796	2959	Assumed	sink	
South America	Soil Heterotrophic Respiration	1997-2009	13652	2995	Propagated	source	
South America	NPP-RH	1997-2009	-1144				
South America	Fire	1997-2009	293	59	Loosely from van der Werf 2010 Fig 14	source	
South America	Wood product decay	2004	30	14,8	Assumed	source	
South America	Wood export	2004	8	2	Assumed	lateral	
South America	Crop product consumption	2004	96	19	Assumed	source	
South America	Crop export	2004	71	14	Assumed	lateral	
South America	Soil C export to rivers	undefined	870	361	Propagated	lateral	
South America	Bedrock C export to rivers	undefined	7		Hartmann et al., 2009	lateral	
South America	Freshwater outgasing	2000s	719	360	Assumed 20%  ; note Dolman p 5327 report 5% error	source	
South America	River export to ocean	undefined	158	32	Assumed	lateral	
Australia	Fossil fuel CO2 emissions	1990-2011	98	6	CDIAC	source	
Australia	∆C	1990-2011	-37	36	Haverd et al. BG 2013 + Propagated	gain	
Australia	NEE	1990-2011	-45	36	Propagated	sink	
Australia	Land use change	1990-2011	18	7	Haverd et al. BG 2013	source	
Australia	NPP	1990-2011	-2210	316	Haverd et al. BG 2013	sink	
Australia	Soil Heterotrophic Respiration	1990-2011	1997	319	Propagated	source	
Australia	NPP-RH	1990-2011	-213				
Australia	Fire	1997-2009	127	22	Haverd et al. BG 2013	source	
Australia	Wood product decay	2004	5	2,5	Assumed	source	
Australia	Wood export	2004	-0,3	0	Assumed	lateral	
Australia	Crop product consumption	2004	9	2	Assumed	source	
Australia	Crop export	2004	11	2	Assumed	lateral	
Australia	Soil C export to rivers	undefined	22	8	Propagated	lateral	
Australia	Bedrock C export to rivers	undefined	0		Hartmann et al., 2009	lateral	
Australia	Freshwater outgasing	2000s	16	8	Assumed	source	
Australia	River export to ocean	undefined	7	1	Assumed	lateral	
Africa	Fossil fuel CO2 emissions	2000-2009	258			source	
Africa	∆C	2000-2007	28	292	Pan et al. 2011 + Valentini et al. 2014	loss	
Africa	NEE	2000-2007 (inconsistent)	-11	292	Valentini et al. 2014	sink	
Africa	Land use change	1990-2009	510	100	Valentini et al. 2014	source	
Africa	NPP	2000s	-14300	3700	Valentini et al. 2014	sink	
Africa	Soil Heterotrophic Respiration	2000s	12873	3719	Propagated	source	
Africa	NPP-RH	2000s	-1427				
Africa	Fire	1997-2011	1031	220	Valentini et al. 2014	source (close to neutral for net - most of these fires are savannas fires - regrowth included in NPP)	
Africa	Wood product decay	2004	56	11	Assumed	source	
Africa	Wood export	2004	2	0,3	Assumed	lateral	
Africa	Crop product consumption	2004	182	36	Assumed	source	
Africa	Crop export	2004	-24	5	Assumed	lateral	
Africa	Soil C export to rivers	undefined	208	75	Propagated	lateral	
Africa	Bedrock C export to rivers	undefined	6		Hartmann et al., 2009	lateral	
Africa	Freshwater outgasing	2000s	147	74	Assumed	source	
Africa	River export to ocean	undefined	67	13	Assumed	lateral	
Globe	Fossil fuel CO2 emissions	2000-2009	6709	400	Propagated	source	
Globe	∆C	2000-2009 (inconsistent)	-1733	#VALEUR !	Propagated	gain	
Globe	NEE	2000-2009 (inconsistent)	#VALEUR !	#VALEUR !	Propagated	sink	
Globe	Land use change	2000-2009 (inconsistent)	1055	#VALEUR !	Propagated	source	
Globe	NPP	2000-2009 (inconsistent)	-55983	#VALEUR !	Propagated	sink	
Globe	Soil Heterotrophic Respiration	2000-2009 (inconsistent)	47675	#VALEUR !	Propagated	source	
Globe	NPP-RH	2000-2009 (inconsistent)	-8308				
Globe	Fire	2000-2009 (inconsistent)	1878	#VALEUR !	Propagated	source	
Globe	Wood product decay	2004	385	#VALEUR !	Propagated	source	
Globe	Wood export	2004	4	#VALEUR !	Propagated	lateral	
Globe	Crop product consumption	2004	1542	#VALEUR !	Propagated	source	
Globe	Crop export	2004	46	#VALEUR !	Propagated	lateral	
Globe	Soil C export to rivers	undefined	2716	#VALEUR !	Propagated	lateral	
Globe	Bedrock C export to rivers	undefined	70		Hartmann et al., 2009	lateral	Hartmann et al., 2009
Globe	Freshwater outgasing	2000s	2112	#VALEUR !	Propagated	source	
Globe	River export to ocean	undefined	613	#VALEUR !	Propagated	lateral	
