Region,all units in TgC yr-1,flux,uncert,comments
Europe,Land use change,1.5,source,schulze et al.
Europe,NPP,-2113,sink,sum of all land use Schulze et al. GCB
Europe,Soil Heterotrophic Respiration,1367,source,sum of all land use Schulze et al. GCB
Europe,Fire,4,source,luyssaert
Europe,Wood product decay,12,source,schulze et al.
Europe,Crop product consumption,397,source,luyssaert - net trade + harvest
Europe,Soil C export,82,lateral,mass balance from luyssaert (assuming no burial)
Europe,Freshwater outgasing,60,source,luyssaert
Europe,River export to ocean,22,lateral,luyssaert
South America,Fossil fuel CO2 emissions,260,source,gloor
South America,NEE,,,
South America,Land use change,500,source,gloor
South America,NPP,,,
South America,Soil Heterotrophic Respiration,,,
South America,Fire,,,
South America,Wood product decay,97,source,"Peters (37,9 - 9,3 +1) x decay function from Earles"
South America,Crop product consumption,96.2,source,Peters
South America,Soil C export,,,
South America,Freshwater outgasing,,source,
South America,River export to ocean,83.278,lateral,geomap (MARCATS 7 )
Australia,Fossil fuel CO2 emissions,95,source,Haverd et al.
Australia,NEE,-47,sink,LUC-NPP+RH+Fire+ Wood product decay+[ livestock consumption 2] + Crop product consumption+Freshwater outgassing
Australia,Land use change,18,source,Haverd et al.
Australia,NPP,-2210,sink,Haverd et al.
Australia,Soil Heterotrophic Respiration,2002,source,Haverd et al.
Australia,Fire,127,source,Haverd et al.
Australia,Wood product decay,5,source,Haverd et al.
Australia,Crop product consumption,9,source,Haverd et al.
Australia,Soil C export,,lateral,mass balance (ignoring burial)
Australia,Freshwater outgasing,,source,Raymond et al.
Australia,River export to ocean,2,lateral,Haverd et al.
Africa,Fossil fuel CO2 emissions,340.8781019907,source,Valentini table 1
Africa,NEE,520.81,source,LUC-NPP+RH+Fire+ Wood product decay+ Crop product consumption+Freshwater outgassing
Africa,Land use change,510,source,Valentini table 1 includes degradation
Africa,NPP,-14300,sink,valentini table 11
Africa,Soil Heterotrophic Respiration,12000,source,valentini table 11
Africa,Fire,1031,source (close to neutral for net - most of these fires are savannas fires - regrowth included in NPP),valentini table 11
Africa,Wood product decay,56.09,source,"Peters (18,6 -4,1 +2,6) x decay function from Earles"
Africa,Crop product consumption,182.1,source,Peters
Africa,Soil C export,,lateral,mass balance (ignoring burial)
Africa,Freshwater outgasing,,source,Raymond et al.
Africa,River export to ocean,63,lateral,valentini table 11
